id,title,author,subject,institution,language,year
B001,Introduction to Indian History,Ravi Sharma,Indian History,University of Delhi,English,2020
B002,Ancient Indian Civilization,Anita Rao,Indian History,Jawaharlal Nehru University,English,2019
B003,Digital Libraries and Knowledge Graphs,Arun Kumar,Digital Libraries,IIT Delhi,English,2023
B004,Knowledge Graph Fundamentals,Sanjay Mehta,Knowledge Graphs,IIT Bombay,English,2022
B005,Artificial Intelligence in Libraries,Priya Singh,Artificial Intelligence,University of Hyderabad,English,2024
B006,Cloud Computing Architecture,Vikram Patel,Cloud Computing,IIT Madras,English,2021
B007,Natural Language Processing Basics,Neha Gupta,Natural Language Processing,IIT Delhi,English,2023
B008,Information Retrieval Systems,Rahul Verma,Information Retrieval,IIT Bombay,English,2022
B009,Digital Preservation Methods,Meera Nair,Digital Preservation,University of Kerala,English,2020
B010,Semantic Web Technologies,Karan Joshi,Semantic Web,IIT Hyderabad,English,2024
B011,Machine Learning for Text,Deepa Menon,Machine Learning,IIT Madras,English,2023
B012,Indian Cultural Heritage,Suresh Iyer,Cultural Heritage,University of Mumbai,English,2018
